Date,Player,Event ID,Actual Points,Expected Points (Book),Expected Points (Fair),Fair Odds,Book Odds,Started,Ended,Cancelled
2024-02-03,MIKAL BRIDGES,IsDCTslOiNOMQ96O1BM0,23,23.5,23.5,-110,-130,True,True,False
2024-02-06,MIKAL BRIDGES,i7bJKRMsLYjxf8iHOVjh,13,22.5,22.5,100,-119,True,True,False
2024-02-23,MIKAL BRIDGES,DwkuQDIBXlHMtuYKHPNG,N/A,23.5,23.5,-115,-133,True,True,True
2024-02-25,MIKAL BRIDGES,otGiga2XLviDgny6C4GF,15,20.5,20.5,110,-103,True,True,False
2024-02-27,MIKAL BRIDGES,ZhhTd24rTFLxNJcSttBP,5,20.5,20.5,100,-106,True,True,False
2024-02-28,MIKAL BRIDGES,PHLsUpOK4y1d2EVCEG4j,0,20.5,20.5,100,-121,True,True,False
2024-03-01,MIKAL BRIDGES,WCnzOpx6ST30GNfpaXco,N/A,23.5,23.5,-120,-137,True,True,True
2024-03-02,MIKAL BRIDGES,illDF4o24Yl0B8R3DlPR,38,21.5,21.5,110,-101,True,True,False
2024-03-05,MIKAL BRIDGES,9KVkaG6jpejzVHAni6fO,14,22.5,22.5,100,-120,True,True,False
2024-03-06,MIKAL BRIDGES,ofbu6O7vbCEXBN94yATM,15,22.5,22.5,-120,-139,True,True,False
2024-03-08,MIKAL BRIDGES,QjWWjxaWXOQX4K80rNCt,13,22.5,22.5,100,-111,True,True,False
2024-03-08,MIKAL BRIDGES,saWFdPqIx4WHtrl2gWAR,13,22.5,22.5,100,-106,True,True,False
2024-03-10,MIKAL BRIDGES,PCe0dyVnU5pVQutZa99h,40,17.5,17.5,100,-106,True,True,False
2024-03-11,MIKAL BRIDGES,0ZVqpO2C3buvxEhiySpm,22,20.5,20.5,-120,-140,True,True,False
2024-03-11,MIKAL BRIDGES,96KjxWvK3T7KEB4MXhb0,22,17.5,17.5,100,-110,True,True,False
2024-02-03,STEPHEN CURRY,xaHTUrEUlJA4p95NBIcR,20,28.5,28.5,100,-119,True,True,False
2024-02-04,STEPHEN CURRY,oDxZjAMs0ZBqJlR2KJKE,60,27.5,27.5,120,105,True,True,False
2024-02-06,STEPHEN CURRY,i7bJKRMsLYjxf8iHOVjh,29,28.5,28.5,100,-114,True,True,False
2024-02-23,STEPHEN CURRY,WDNdQhso5vdw0lieyAZN,32,29.5,29.5,100,-117,True,True,False
2024-02-24,STEPHEN CURRY,4WCIJYCpgemjAjmeylmy,15,22.5,22.5,100,-110,True,True,False
2024-02-26,STEPHEN CURRY,zIPyRMwr7wi3itu5yyNS,N/A,27.5,27.5,100,-128,True,True,True
2024-02-28,STEPHEN CURRY,gfmft62DBRp6stdsZLkz,0,28.5,28.5,100,-119,True,True,False
2024-03-01,STEPHEN CURRY,NxxNrXxEdNcjknTvBfTb,N/A,27.5,27.5,100,-123,True,True,True
2024-03-02,STEPHEN CURRY,CbwBhJSGXsMuuAaIotEo,25,27.5,27.5,100,-117,True,True,False
2024-03-03,STEPHEN CURRY,deZ8N5BSyy9jynCAKkKC,4,26.5,26.5,100,-121,True,True,False
